Date|Open|High|Low|Close|Volume|Change
2018-01-25|49220|50360|49160|50260|223207|0.01864612890149986
2018-01-26|50500|50780|49840|50780|207002|0.010346199761241515
2018-01-29|51200|51480|50900|51220|236776|0.008664828672705793
2018-01-30|50440|50640|49780|49800|245691|-0.027723545490042967
2018-01-31|50020|54140|49600|49900|1293626|0.002008032128514081
2018-02-01|50620|50960|49720|49820|552189|-0.0016032064128256307
2018-02-02|49380|49400|47700|47700|585207|-0.04255319148936165
2018-02-05|46500|48320|46000|47920|567158|0.004612159329140386
2018-02-06|46600|47920|46580|47420|388129|-0.01043405676126874
2018-02-07|48240|48260|45800|45800|468961|-0.03416280050611553
2018-02-08|46120|46620|45980|46000|465021|0.004366812227074135
2018-02-09|44440|45180|44420|44700|349300|-0.02826086956521734
2018-02-12|45100|46320|45040|45720|315099|0.02281879194630876
2018-02-13|46200|48060|46200|47540|378465|0.039807524059492616
2018-02-14|48080|49100|47940|49000|378118|0.03071098022717722
2018-02-19|49800|49800|47860|48380|307069|-0.012653061224489837
2018-02-20|48040|48160|47220|47400|202452|-0.02025630425795788
2018-02-21|47280|47580|46840|47280|257604|-0.0025316455696202667
2018-02-22|47260|47260|46760|46760|177399|-0.010998307952622688
2018-02-23|46760|47800|46760|47220|248466|0.009837467921300247
2018-02-26|47280|47560|47080|47380|191213|0.0033883947479882437
2018-02-27|48360|48380|47380|47380|196611|0.0
2018-02-28|47380|48100|47000|47060|303247|-0.006753904601097482
2018-03-02|46580|46800|46000|46020|265310|-0.02209944751381221
2018-03-05|45820|46160|45080|45200|282019|-0.01781833985223813
2018-03-06|45920|47100|45820|47020|308467|0.04026548672566377
2018-03-07|48200|48900|47220|48620|428541|0.034028073160357275
2018-03-08|49200|49480|48080|49200|389273|0.01192924722336497
2018-03-09|49440|50540|49240|49740|286088|0.01097560975609757
2018-03-12|50560|50780|49580|49740|173779|0.0
2018-03-13|50760|51660|50360|51660|401974|0.0386007237635706
2018-03-14|51020|52000|51000|51760|254265|0.0019357336430507743
2018-03-15|52000|52020|51020|51540|177649|-0.004250386398763517
2018-03-16|51220|51420|50240|51140|243698|-0.007760962359332546
2018-03-19|50620|51340|50440|50740|164377|-0.007821666014861117
2018-03-20|50700|51200|50100|51200|163865|0.009065825778478587
2018-03-21|51780|51780|51060|51060|178104|-0.0027343749999999556
2018-03-22|51060|51780|51040|51780|169082|0.014101057579318343
2018-03-23|50340|50720|49600|49720|297099|-0.0397837002703747
2018-03-26|49420|50280|49040|50280|201155|0.011263073209975882
2018-03-27|50320|50460|49080|49980|237480|-0.005966587112171795
2018-03-28|49100|49100|48340|48700|303189|-0.025610244097639012
2018-03-29|48700|49560|48320|49040|201340|0.006981519507186951
2018-03-30|49080|49900|49080|49220|155542|0.0036704730831973453
2018-04-02|49000|49220|48500|48540|142313|-0.013815522145469328
2018-04-03|47880|48140|47280|48120|255365|-0.008652657601977753
2018-04-04|48160|48260|46920|46920|247684|-0.02493765586034913
2018-04-05|47400|49380|47340|48740|264912|0.038789428815004356
2018-04-06|48000|48580|47400|48400|250654|-0.006975789905621643
2018-04-09|48260|49440|48200|49200|199008|0.016528925619834656
2018-04-10|48540|49220|48040|48880|219687|-0.006504065040650375
2018-04-11|49900|49900|48600|48860|201022|-0.00040916530278234386
2018-04-12|49440|49440|48880|49000|249325|0.002865329512893977
2018-04-13|49600|50180|49400|49800|205566|0.01632653061224487
2018-04-16|50320|50600|49860|50340|157549|0.010843373493975905
2018-04-17|50240|50540|49820|49980|155440|-0.007151370679380209
2018-04-18|51000|51360|50580|51360|269252|0.027611044417767072
2018-04-19|52000|52980|51540|52780|343811|0.027647975077881526
2018-04-20|51800|52260|51420|51620|235220|-0.02197802197802201
2018-04-23|51000|52080|51000|51900|232380|0.005424254165052211
2018-04-24|51840|51860|50080|50460|315406|-0.02774566473988438
2018-04-25|49220|50500|49220|50400|332292|-0.0011890606420927874
2018-04-26|50420|52160|50400|52140|360931|0.03452380952380962
2018-04-27|53380|53639|52440|53000|606216|0.016494054468737973
2018-04-30|0|0|0|53000|0|0.0
2018-05-02|0|0|0|53000|0|0.0
2018-05-03|0|0|0|53000|0|0.0
2018-05-04|53000|53900|51800|51900|39565391|-0.02075471698113207
2018-05-08|52600|53200|51900|52600|23104720|0.01348747591522148
2018-05-09|52600|52800|50900|50900|16128305|-0.03231939163498099
2018-05-10|51700|51700|50600|51600|13905263|0.013752455795677854
2018-05-11|52000|52200|51200|51300|10314997|-0.005813953488372103
2018-05-14|51000|51100|49900|50100|14909272|-0.023391812865497075
2018-05-15|50200|50400|49100|49200|18709146|-0.017964071856287456
2018-05-16|49200|50200|49150|49850|15918683|0.013211382113821113
2018-05-17|50300|50500|49400|49400|10365440|-0.009027081243731194
2018-05-18|49900|49900|49350|49500|6706570|0.002024291497975783
2018-05-21|49650|50200|49100|50000|9020998|0.010101010101010166
2018-05-23|50600|52000|50400|51800|17095490|0.03600000000000003
2018-05-24|52000|52000|51100|51400|8289275|-0.007722007722007707
2018-05-25|51000|52800|50800|52700|15207266|0.02529182879377423
2018-05-28|52500|53000|52000|52300|9787820|-0.007590132827324458
2018-05-29|52200|52500|51300|51300|8480437|-0.019120458891013437
2018-05-30|51300|51500|49100|49500|20498098|-0.03508771929824561
2018-05-31|50400|50800|49850|50700|63491109|0.024242424242424176
2018-06-01|50500|51700|49950|51300|13038499|0.01183431952662728
2018-06-04|50800|51200|50700|51100|9767171|-0.003898635477582846
2018-06-05|51100|51400|50400|51300|9144100|0.00391389432485334
2018-06-07|51800|51800|50500|50600|13590016|-0.013645224171540016
2018-06-08|50200|50400|49600|49650|16951706|-0.018774703557312256
2018-06-11|49750|50300|49350|49900|10571312|0.0050352467270895485
2018-06-12|49700|49800|49250|49400|12110569|-0.01002004008016033
2018-06-14|49000|49000|48200|48200|20971729|-0.02429149797570851
2018-06-15|48500|48700|47650|47650|17080892|-0.011410788381742698
2018-06-18|47600|47650|46200|46600|16661870|-0.022035676810073457
2018-06-19|47200|47350|46500|47000|15217971|0.008583690987124415
2018-06-20|47450|47600|46850|47000|12959316|0.0
2018-06-21|47900|47900|47050|47050|10015541|0.0010638297872340718
2018-06-22|47000|47250|46200|47250|10298006|0.004250797024442088
2018-06-25|47050|47050|46150|46650|10587711|-0.012698412698412653
2018-06-26|45900|47300|45900|47000|11223166|0.007502679528403
2018-06-27|47450|48500|47000|47950|15274752|0.0202127659574467
2018-06-28|46850|47150|46600|46800|12784800|-0.023983315954118845
2018-06-29|46250|47150|46200|46650|14099635|-0.0032051282051281937
2018-07-02|46500|47150|45500|45550|13112253|-0.02357984994640938
2018-07-03|45750|46450|45750|46150|10959655|0.01317233809001106
2018-07-04|46700|47050|46050|46250|8776763|0.0021668472372697867
2018-07-05|46100|46550|45600|45950|7039773|-0.006486486486486531
2018-07-06|45500|45850|44650|44900|17843706|-0.02285092491838958
2018-07-09|45500|46100|45200|45600|11602464|0.015590200445434244
2018-07-10|46200|46550|46100|46300|10528665|0.015350877192982448
2018-07-11|46400|46450|45400|46000|11224077|-0.006479481641468721
2018-07-12|45900|46250|45450|45500|11828104|-0.010869565217391353
2018-07-13|45800|46500|45750|46500|11543389|0.0219780219780219
2018-07-16|46800|46800|46000|46050|7678719|-0.009677419354838679
2018-07-17|46150|46200|45600|45850|8892953|-0.004343105320304019
2018-07-18|46700|47200|46450|46550|10952645|0.01526717557251911
2018-07-19|47050|47200|46600|46900|9880128|0.007518796992481258
2018-07-20|47000|47600|46700|47450|10474547|0.011727078891258014
2018-07-23|47100|47200|46150|46500|10823782|-0.02002107481559534
2018-07-24|46350|46600|45950|46150|8261363|-0.007526881720430145
2018-07-25|46250|46550|45900|46150|7222471|0.0
2018-07-26|46100|47000|46000|46900|7374946|0.01625135427952329
2018-07-27|46450|47000|46450|46900|4762460|0.0
2018-07-30|46550|46800|46350|46500|5723035|-0.008528784648187626
2018-07-31|46200|46450|46000|46250|8033607|-0.005376344086021501
2018-08-01|46050|46850|46050|46550|7484499|0.00648648648648642
2018-08-02|46550|46800|45500|45550|8560924|-0.02148227712137485
2018-08-03|45850|45900|45450|45750|8274944|0.004390779363337094
2018-08-06|46150|46150|45750|45800|6771979|0.0010928961748633004
2018-08-07|46300|46750|45900|46700|9058174|0.01965065502183405
2018-08-08|47000|47000|46550|46800|6429338|0.0021413276231263545
2018-08-09|47000|47050|46450|46900|12010886|0.002136752136752129
